escalate                           eskalieren
price maintenance agreements       Vereinbarungen zur Preisbindung zweiter Hand
price management                   Kurspflege
price mark                         Preisangabe
price mechanism                    Preismechanismus
price movement                     Preisbewegung
price of  call                     Vorprämienkurs
price of gold                      Goldpreis
price of put                       Rückprämienkurs
price of sale                      Verkaufspreis
price of shares                    Aktienkurs
price on the free market           Preis auf dem freien Markt
price on the local market          Preis am Ort
price on the world market          Preis auf dem Weltmarkt
price per unit                     Stückpreis
price policy                       Preispolitik
price quotation                    Kursnotierung
price range                        Schwankungsbreite der Kurse
price reduction                    Preissenkung
price relationship                 Preisverhältnis
price rise                         Preisanstieg, Preiserhöhung, Preissteigerung
price setter                       Preisführer
price spiral                       Preisspirale
price stability                    Preisstabilität
price structure                    Kursgefüge
price structure                    Preisstruktur
price system                       Preissystem
price trend                        Preistendenz
price war                          Preiskrieg
price-earning ratio                Verhältnis von Preis und Ertrag
price-fixing agreement             Preisabsprache, Vereinbarung über Festpreise
price-maintained goods             Preisgebundene Ware
priceless                          unbezahlbar
prices have recovered              Preise haben sich erholt
prices on application              Preise auf Anfrage
pride                              Stolz, Hochmut, Überheblichkeit
prima                              prima
primary                            ursprünglich, hauptsächlich, erstklassig
primarily                          in erster Linie
primary boycott                    direkter Boykott
primary colour                     Grundfarbe
primary data                       Primärdaten
primary deposit                    Stammeinlage
primary education                  Grundschulbildung, Grundschulwesen
primary education                  Primarschulwesen, Primarausbildung
primary industries                 Primärindustrie
primary labour market              Arbeitsmarkt für qualifizierte Kräfte
primary market                     Hauptmarkt
primary objective                  Hauptziel
primary product                    Hauptprodukt
primary sector                     primärer Wirtschaftssektor
prime age                          bestes Alter
prime bank bill                    erstklassiger Bankwechsel mit Bankakzept
prime bill                         erstklassiger Wechsel
prime costs                        Selbstkosten
prime rate                         (US) Diskontsatz
prime rate                         Leitzins amerikanischer Geschäftsbanken
prime-age workers                  Arbeitskräfte im besten Alter
primitive                          primitiv
principal                          Chef, Auftraggeber
principal                          hauptsächlich, Auftraggeber, Prinzipal
principal activity                 Haupttätigkeit
principal agent                    Hauptvertreter, Generalvertreter
principal and interests            Kapital und Zinsen
principal component                Hauptbestandteil
principal consumer                 Hauptverbraucher
principal creditor                 Hauptgläubiger
principal debtor                   Hauptschuldner
principal duty                     Hauptaufgabe
principal earner                   Hauptverdiener
principal exports                  Hauptausfuhren, Hauptausfuhrwaren
principal fault                    Hauptfehler
principal imports                  Haupteinfuhren, Haupteinfuhrwaren
principal income                   Haupteinkommen
principal market                   Hauptmarkt
principal matter                   Hauptangelegenheit
principal of the firm              Firmenchef
principal part                     Hauptteil
principal shareholder              Hauptaktionär
principal supplier                 Hauptlieferant
principal supporter                hauptsächlicher Unterstützer
principal thing                    Hauptsache
principal town                     wichtigste Stadt
principal weakness                 Hauptschwäche
principal's representative         Vertreter des Auftraggebers
principle                          Prinzip, Grundsatz
principle                          Prinzip, Richtlinie
principle of choice                Prinzip der Auswahl, Auswahlprinzip
principle of efficiency            Leistungsprinzip
principle of indemnity             Prinzip der Entschädigung
principle of peaceful coexistence  Prinzip der friedlichen Koexistenz
principles                         Richtlinien, Leitsätze
print                              drucken, Druck
print shop                         Druckerei
printable                          druckfertig
printed form                       Vordruck
printed matter                     Drucksache
printers' shop                     Druckerei
printing plant                     Druckerei
printing shop                      Druckerei
prior                              vorher, vorherig
prior claim                        Vorrecht
prior endorser                     früherer Indossant
prior notice to the beneficiary    vorherige Nachricht an den Begünstigten
prior to maturity                  vor Fälligkeit
prior to receipt of notice         vor Eingang der Nachricht
priority                           Vorrang, Vorrecht, Priorität
priority of a claim                Vorrecht eines Anspruchs
prison                             Gefängnis
privacy                            Privatbereich, Zurückgezogenheit
private                            privat, persönlich
private account                    Privatkonto
private affairs                    Privatangelegenheiten
private and confidential           streng vertraulich
private arrangement                persönliche Vereinbarung
private arrangement                private Vereinbarung, private Abmachung
private bank                       Privatbank
private brand                      Eigenmarke, Privatmarke, Händlermarke
private brand                      Hausmarke
private call                       Privatgespräch
private car                        Privatwagen
private channels                   private Informationskanäle
private citizen                    Privatmann
private concerns                   Privatangelegenheiten
private consumption                privater Verbrauch
private conversation               vertrauliches Gespräch
private corporation                private Körperschaft
private credit                     Kredit an Privatpersonen
private detective                  Privatdetektiv
private deposit                    private Spareinlage
private enterprise                 freie Wirtschaft, Privatwirtschaft
private enterprise                 Privatunternehmen, freie Wirtschaft
private enterprise                 Privatunternehmertum, Privatunternehmen
private eye                        Schnüffler
private health insurance           private Krankenversicherung
private hearing                    vertrauliche Anhörung
private house                      Privathaus
private individual                 Privatperson
private information                vertrauliche Mitteilung
private insurer                    Privatversicherer
private life                       Privatleben
private limited company            GmbH
private limited company            GmbH (Br.)
private matter                     private Angelegenheit
private means                      Privatvermögen
private motives                    persönliche Beweggründe
private place                      ungestörter Ort, abgelegener Ort
private practice                   Privatpraxis
private property                   Privatbesitz
private property                   privater Besitz, Privateigentum
private pupil                      Privatschüler
private school                     Privatschule
private secretary                  Privatsekretär
private sector                     privater Sektor, Privatwirtschaft
private sector                     Privatsektor
private sector of the economy      privater Sektor der Wirtschaft
private settlement                 außergerichtlicher Vergleich
private tuition                    Privatunterricht, Einzelunterricht
private tutor                      Privatlehrer
private wedding                    Hochzeit im kleinsten Kreis
privately financed                 privat finanziert
privately owned concern            Privatunternehmen
privation                          Beraubung
privilege                          Privileg, Vorrecht, Sonderrecht, bevorrechten
privileged                         privilegiert
privileged as to dividend          dividendenbevorrechtigt
privileged claim                   bevorrechtigte Forderung
privileged classes                 privilegierte Klassen
privileged creditor                Prioritätsgläubiger
privileged population              privilegierte Bevölkerung
privy                              geheim
privy council                      Geheimrat
prize                              Preis, Prämie
pro                                für
pro forma                          Proforma
pro forma account                  fingiertes Konto
pro forma invoice                  Proformarechnung
pro-cyclical                       pro-zyklisch
probability                        Wahrscheinlichkeit
probability calculation            Wahrscheinlichkeitsrechnung
probability calculus               Wahrscheinlichkeitsrechnung
probability control                Wahrscheinlichkeitskontrolle
probability curve                  Wahrscheinlichkeitskurve
probability density                Wahrscheinlichkeitsdichte
probability distribution           Wahrscheinlichkeitsverteilung
probability of a loss              Wahrscheinlichkeit eines Schadens
probability of a loss              Wahrscheinlichkeit eines Schadensfalles
probability of an event            Wahrscheinlichkeit eines Ereignisses
probability of dying               Sterbewahrscheinlichkeit
probability of error               Fehlerwahrscheinlichkeit
probability of loss                Schadenswahrscheinlichkeit
probability of success             Wahrscheinlichkeit des Erfolgs
probability of survival            Wahrscheinlichkeit des Überlebens
probability of surviving           Überlebenswahrscheinlichkeit
probability of total failure       Wahrscheinlichkeit des totalen Verlusts
probability table                  Wahrscheinlichkeitstafel
probability theory                 Wahrscheinlichkeitstheorie
probable                           wahrscheinlich
probable duration of life          wahrscheinliche Lebensdauer
probable error                     mutmaßlicher Fehler
probably                           wahrscheinlich
probation                          Probezeit, Probe
probationary period                Probezeit
problem                            Problem, Schwierigkeit, Fragestellung
problem definition                 Beschreibung des Problems
problem-oriented                   problemorientiert
problem-solving                    problemlösend
problematic                        problematisch, fraglich, zweifelhaft
problems caused by the text        vom Text verursachte Probleme
procedure                          Arbeitsverfahren, Vorgang, Methode
proceed                            stattfinden, weiter gehen, fortfahren
proceeds                           Einkünfte, Erlös
proceeds from capital              Kapitalertrag
process                            bearbeiten, Prozess
process allowance                  Methodenzuschuss
process allowance                  Verfahrenszulage
process card                       Arbeitsablaufkarte
process chart                      Arbeitsablaufdiagramm
process chart                      Fertigungsdiagramm
process chart                      Flußdiagramm
process control                    Fertigungssteuerung
process innovation                 Verfahrenserneuerung, Prozessinnovation
process inspection                 Fertigungskontrolle
process interruption               Fertigungsunterbrechung, Prozessunterbrechung
process layout planning            Arbeitsvorbereitung
process time                       Bearbeitungszeit
processing time                    Fertigungszeit
proclaim                           ausrufen, proklamieren
proclamation                       Proklamierung
procrastinate                      aufschieben
procrastination                    Aufschub, Verzögerung
procuration                        Prokura, Vollmacht
procuration                        Besorgung, Beschaffung
procuration endorsement            Vollmachtsindossament
procure                            beschaffen, beibringen
procure acceptance                 das Akzept beschaffen
procure all licenses               alle Bewilligungen beschaffen
procure transport insurance        Transportversicherung beschaffen
prodigal                           verschwenderisch
produce                            erzeugen,  Erzeugnis
produce                            produzieren, herstellen
produce a letter                   einen Brief vorweisen
produce a masterpiece              eine Meisterstück hervorbringen
produce a piece of art             ein Kunstwerk schaffen
produce a sculpture                eine Skulptur anfertigen
produce a witness                  einen Zeugen beibringen
produce an article                 einen Artikel herstellen
produce cars                       Kraftfahrzeuge herstellen
produce coal                       Kohle fördern
produce electricity                Elektrizität erzeugen
produce energy                     Energie erzeugen
produce exchange                   Produktenbörse
produce exchange                   Warenbörse
produce evidence                   Beweismaterial beibringen
produce heat                       Wärme erzeugen
produce interest                   Interesse erzeugen
produce steel                      Stahl erzeugen
producer                           Erzeuger
producer                           Produzent
producer advertising               Herstellerwerbung
producer durable good              langlebiges Investitionsgut
producer goods                     Investitionsgüter, Anlagegüter, Kapitalgüter
producer market                    Erzeugermarkt
producer price                     Erzeugerpreis
producer's liability insurance     Herstellerhaftpflichtversicherung
producers' cooperative             Produktionsgenossenschaft
product                            Produkt, Erzeugnis
product advertising                Produktwerbung
product analysis                   Produktanalyse
product choice                     Produktauswahl
product costing                    Kostenrechnung eines Produkts
product cycle                      Produktzyklus
product design                     Produktgestaltung
product designer                   Produktgestalter
product development                Produktentwicklung
product development manager        Produktentwicklungsleiter
product differentiation            Produktdifferenzierung
product executive                  Produktmanager
product history                    Geschichte eines Produkts
product image                      Image des Produktes
product information                Information über das Produkt
product innovation                 Produktinnovation
product line                       Sortiment
product management                 Produktmanagement
product manager                    Produktmanager, Produktleiter
product obsolescence               Veralterung von Produkten
product personality                Produktprofil
product profile                    Produktprofil
product test                       Warentest
product testing                    Warentest
production                         Ausbringung, betriebliche Leistung
production                         Produktion, Ausstoß, Ertrag
production batch                   Losgröße
production bonus                   Produktionsprämie
production bonus system            Prämiensystem
production capacity                Produktionskapazität
production centre                  Fertigungsstelle
production control                 Fertigungskontrolle
production control                 Fertigungsüberwachung
production costs                   Fertigungskosten
production costs                   Herstellungskosten
production curve                   Produktionskurve
production division                Fertigungsabteilung
production engineer                Betriebsingenieur
production engineering             Produktionsbestgestaltung
production estimate                Produktionskostenvoranschlag
production facilities              Ausstattung mit Betriebsmitteln
production facilities              Betriebsmittel
production facilities              Produktionsmöglichkeiten
production factors                 Produktionsfaktoren
production flow                    Produktionsblauf
production force                   Fertigungsbelegschaft
production function                Produktionsfunktion
production in bulk                 Massenproduktion
production index                   Fertigungsindex
production limit                   Fertigungshöchstgrenze
production line                    Fertigungsstraße
production line                    Warenbereich der gefertigten Güter
production manager                 Leiter der Produktion
production order                   Fertigungsauftrag
production overheads               Produktionsgemeinkisten
production plan                    Fertigungsplan
production planning                Fertigungsplanung
production planning                Produktionsplanung
production process                 Fertigungsverfahren, Herstellungsverfahren
production process                 Produktionsvorgang, Herstellungsablauf
production programme               Fertigungsprogramm
production schedule                Fertigungsplan
production schedule                Fertigungszeitplan
production scheduling              Fertigungsplanung
production shop                    Fertigungsabteilung
production study                   Fertigungsablaufstudie
production target                  Fertigungsziel
production technique               Fertigungsverfahren
productive                         produktiv
productive labour                  produktive Arbeit
productive operations              produktive Tätigkeiten
productive population              produktive Bevölkerung
productive time                    Fertigungsdauer
productive work                    produktive Arbeit
productivity                       Produktivität
productivity gain                  Produktivitätsgewinn, Produktivitätszunahme
productivity growth                Produktivitätswachstum
productivity increase              Produktivitätszunahme
profess                            bekennen
professed                          erklärt, vorgeblich
professedly                        eingestandenermaßen
profession                         Beruf
profession                         freier akademischer Beruf
professional                       Fachmann, Experte, berufsmäßig
professional                       professionell
professional advancement           beruflicher Aufstieg, Berufsaufstieg
professional advancement           berufliches Fortkommen
professional advancement           berufliches Weiterkommen
professional association           Berufsorganisation, Berufsverband
professional association           Berufsvereinigung
professional career                beruflicher Werdegang
professional career                Berufsverlauf, berufliche Entwicklung
professional classes               Akademiker
professional earnings              Einkünfte aus freiberuflicher Tätigkeit
professional experience            Berufserfahrung
professional labour market         Markt akademisch gebildeter Arbeitskräfte
professional labour market         Markt beruflich qualifizierter Kräfte
professional liability insurance   Berufshaftpflichtversicherung
professional life                  Berufsleben, Arbeitsleben, Erwerbsleben
professional life                  Berufstätigkeit
professional organization          Berufsverband, Berufsvereinigung
professional qualification         berufliche Qualifikation
professional qualification         Berufsqualifikation, berufliche Qualifikation
professional qualifications        berufliche Befähigungsnachweise
professional secret                Berufsgeheimnis
professional skill                 berufliche Fertigkeit, Berufsqualifikation
professional soldier               Berufssoldat
professional status                Stellung im Beruf
professional training              Berufsausbildung
proficiency                        Fertigkeit
proficient                         bewandert, kompetent
profile                            Profil
profit                             Gewinn
profit and loss account            Gewinn- und Verlustkonto
profit carried forward             Gewinnvortrag
profit insurance                   Gewinnausfallsversicherung
profit margin                      Gewinnspanne
profit margin                      Gewinnspanne, Erlösspanne
profit motive                      Gewinnmotiv
profit planning                    Gewinnplanung
profit rate                        Gewinnrate
profit sharing                     Gewinnbeteiligung
profit-and-loss statement          Gewinn- und Verlustkonto
profit-maximizing                  gewinnmaximierend
profit-sharing                     Gewinnbeteiligung
profitability                      Ertragskraft, Wirtschaftlichkeit
profitability                      Rentabilität
profitable                         gewinnbringend, einträglich, rentabel
profitable investment              vorteilhafte Kapitalanlage
profitableness                     Einträglichkeit
profound                           tief, tiefgründig
profound aversion                  tiefe Abneigung
profound knowledge                 fundierte Kenntnisse
profoundness                       Tiefe
profuse                            üppig
prognosis                          Prognose
prognostic                         voaussagend, prophezeiend
program                            Programm (US), Plan
program flow chart                 Programmablaufdiagramm
program management                 Programmanagement
programme                          Programm (Br.)
programme evaluation and review technique   P.E.R.T.
programmed instruction             programmierte Unterweisung
programmer                         Programmierer
progress                           Fortschritt
progress chart                     Arbeitsflussbild
progress chaser                    Terminjäger
progress control                   Terminkontrolle
progress of work                   Arbeitsverlauf
progress report                    Tätigkeitsbericht
progress report                    Zwischenbericht
progressing                        Fertigungssteuerung
progressive                        progressiv
progressive costs                  progressive Kosten
progressive income tax             progressive Einkommensteuer
prohibit                           verhindern
prohibited goods                   verbotene Ware
prohibition                        Verhinderung, Verbot
prohibitive tariff                 abschreckend hoher Zoll
prohibitory                        verhindernd
project                            Projekt, Entwurf, Plan
project analysis                   Projektanalyse
project management                 Projektmanagement
project manager                    Projektmanager, Projektleiter
projected growth                   vorhergesagtes, geplantes Wachstum
projectile                         Projektil, Geschoss
projection                         Hochrechnung
projection                         Vorausschätzung, Vorausberechnung
proletarian                        Proletarier
proletariat                        Proletariat
prolong                            verlängern
prolongate                         verlängern, prolongieren
prolongation                       Verlängerung
promenade                          Promenade, Spaziergang, spazieren gehen
prominence                         Hervortreten, Vorsprung
prominent                          hervortretend, hervorspringend, herausragend
promiscuous                        vermischt
promise                            Zusage, Versprechen, zusagen, versprechen
promise to grant a loan            Darlehensversprechen
promise to pay                     Zahlungsversprechen
promising                          Erfolg versprechend
promising                          vielversprechend
promissory not to bearer           Schuldverschreibung auf den Inhaber
promissory not to order            Schuldverschreibung an Order
promissory note                    Solawechsel
promote                            fördern, befördern
promote                            vorantreiben
promotion                          Beförderung, Berufsförderung
promotion campaign                 Werbefeldzug zur Verkaufsförderung
promotion manager                  Werbeleiter
promotion material                 Werbematerial
promotion of employment            Beschäftigungsförderung, Arbeitsförderung
promotion of investments           Förderung von Kapitalanlagen
promotion of job creation          Arbeitsförderung, Arbeitsplatzförderung
promotion of job creation          Förderung von Arbeitsplätzen
promotional expenditure            Werbeaufwand
prompt                             prompt, sofort, umgehend
prompt delivery                    prompte Anlieferung, prompte Lieferung
prompt notice                      unverzügliche Nachricht
promptly                           sofortig, umgehend
promptly to recover outlays        sich für Auslagen sofort zu erholen
prone                              geneigt
pronounce                          aussprechen
pronouncement                      Verkündigung
pronunciation                      Aussprache
proof                              Beweis, Probe, Bürstenabzug
proof                              fest, sicher, undurchdringlich
proof against bribes               unbestechlich
proof against fire                 feuerfest
proof of authenticity              Beweis der Echtheit
proof of claim                     Anspruchsbegründung
proof of death                     Todesnachweis
proof of delivery of the goods     Nachweis der Verbringung der Ware
proof of guilt                     Nachweis der Schuld
proof of identity                  Nachweis der Identität
proof of loss                      Nachweis des Verlustes
proof study                        Kontrollzeitstudie
propaganda                         Propaganda, Werbung, Beeinflussung
propaganda campaign                Reklamefeldzug
propaganda week                    Werbewoche
propagate                          fortpflanzen, verbreiten
propagation                        Verbreitung, Fortpflanzung
propel                             vorwärtstreiben
propensity                         Neigung
propensity to consume              Konsumneigung
propensity to consume              Neigung zu verbrauchen
propensity to hoard                Neigung zu horten
propensity to invest               Investitionsneigung
propensity to invest               Neigung zu investieren
propensity to save                 Sparneigung
proper                             eigentlich, echt, richtig, zuständig
proper authority                   maßgebende Behörde
proper facilities                  angemessene Einrichtungen
proper instructions                genaue Anweisungen
proper name                        Eigenname
proper packing                     ordentliche Verpackung
properly                           genau, richtig
properly meaning                   dessen eigentliche Bedeutung ist
property                           Eigentum
property damage                    Sachschaden
property in goods                  Eigentum an einer Ware
property insurance                 Sachversicherung
property insured                   versicherte Sache
property loss                      Vermögensschaden
property tax                       Vermögenssteuer
prophecy                           Prophezeiung
prophesy                           prophezeien
prophylactic                       vorbeugend, prophylaktisch
prophylaxis                        Vorbeugung, Schutz
proportion                         Verhältnis
proportional                       im Verhältnis
proportional allotment             proportionale Verteilung
proportional tax                   Proportionalsteuer
proposal                           Vorschlag
proposal                           Vorschlag, Antrag
proposal form                      Antragsformular
proposal form                      Versicherungsantrag
propose                            vorschlagen
propose an insurance               Versicherung beantragen
proposition                        Behauptung, Aussage, Vorschlag
propound                            vorlegen
proprietary article                Markenartikel (US)
proprietary rights                 Eigentumsrechte
proprietor                         Eigentümer
proprietor                         Inhaber
prosaic                            prosaisch, nüchtern
prose                              Prosa
prosecute                          verfolgen
prosecution                        Verfolgung
prosecutor                         Ankläger
prospective                        angehend
prospective customer               Kaufinteressent
prospect                           Ausschau halten, schürfen
prospects                          Aussichten
prospects of the market            Aussichten des Marktes
prospectus                         Prospekt
prosper                            blühen, gedeihen, vorankommen, wachsen
prospering                         blühend
prosperity                         Wohlstand
prosperous                         gedeihend
protect                            schützen, beschützen
protection                         Schutz
protection against dismissal       Kündigungsschutzbestimmung
protection against dismissal       Schutz  vor Entlassungen
protection against unfair dismissal Kündigungsschutz
protection of goods                Schutz der Ware
protectionism                      Protektionismus
protectionist                      Verfechter der Schutzzölle
protective                         beschützend
protective clothing                Schutzkleidung
protective tariff                  Schutzzoll
protective tariffs                 Schutzzölle
protest                            protestieren, Protest
protest charges                    Protestgebühren
protest charges                    Protestkosten
protest for non-acceptance         Protest wegen Nicht-Annahme
protest for non-payment            Protest mangels Zahlung
protested bill                     protestierter Wechsel
prototype                          Prototyp
protract                           in die Länge ziehen
protracted                         hingezogen
protrude                           vorstoßen
proud                              stolz
prove                              beweisen
prove a fact                       eine Tatsache beweisen
prove a theory                     eine Theorie untermauern
prove one's identity               sich ausweisen
provide                            vorsehen, verordnen, bestimmen
provide a set of rules             eine Reihe von Regeln bieten
provide bail                       Sicherheit stellen
provide cover                      Deckung beschaffen
provide cover                      Schutz gewähren
provide evidence                   Nachweis erbringen
provide for customary conditioning für die übliche Behandlung sorgen
provide for delivery               die Lieferung ermöglichen
provide for packing of the goods   für die Verpackung der Ware sorgen
provide for payment                für Zahlung sorgen
provide him with the B/L           ihm das Konnossement beschaffen
provide security                   Sicherheit leisten
provide surety                     einen Bürgen stellen
provide the buyer with sth.        dem Käufer etwas besorgen
provide the buyer with sth.        dem Käufer etwas liefern
provide the import licence         die Einfuhrerlaubnis beschaffen
provide the packing                für die Verpackung der Ware sorgen
provide the packing                für die Verpackung sorgen
provide the packing of the goods   für die Verpackung der Ware zu sorgen
provide the transport document     das Versanddokument beschaffen
provide with                       besorgen, ausstatten mit
provide with food                  mit Nahrung versorgen
provided for in article A.3        in Artikel A.3 vorgesehen
provided in the contract           im Vertrag vorgesehen
provided it accepts goods          sofern der Bahnhof Güter annimmt
provided it offers such facilities vorausgesetzt er bietet solche Einrichtungen
provided that                      vorausgesetzt dass
provided that in doing so          vorausgesetzt, dass dabei
provided that the documents are presented  sofern die Dokumente vorgelegt werden
providence                         Voraussicht, Fürsorge
provident                          vorsorglich
provident bank                     Sparkasse
provident fund                     Vorsorgereserve
provident society                  Sparverein
providing by endorsement           durch Indossament sicherstellen
province                           Provinz
provision                          Bereitstellung, Beschaffung, Fürsorge
provision                          Versorgung, Reserve, Rücklage
provision clause                   Vorbehaltsklausel
provision for                      Berücksichtigung von
provision governing entrance       Zugangsbestimmung
provisional                        provisorisch, einstweilig, vorläufig
provisional arrangement            provisorische Regelung
provisional certificate            Interimsschein
provisional certificate            Zwischenschein
provisional cover                  vorläufiger Versicherungsschutz
provisional decision               Vorbescheid
provisional government             provisorische Regierung
provisional receipt                Interimsquittung
provisions                         Bestimmungen, Vorschriften
provisions affecting a subject matter  Bestimmungen, die sich auf etwas beziehen
provisions for dismissal protection Kündigungsschutzbestimmungen
provisions for the time being      zur Zeit gültige Bestimmungen
provisions of a contract           Bestimmungen eines Vertrags
provisions of an insurance policy  Versicherungsbestimmungen
provision                          Vorschrift, Verordnung, Bestimmung, Klausel
provocation                        Herausforderung
provocative                        herausfordernd
provoke                            hervorrufen, reizen, ärgern
proximate                          annähernd
proximo                            nächster
proxy                              Stellvertreter, Stellvertretung
proxy                              Vertreter
proxy variable                     Näherungsvariable
prude                              prüde, zimperlich
prudery                            Zimperlichkeit
prudence                           Klugheit
prudent                            weise, klug, vorsichtig
prudent tradesman                  umsichtiger Geschäftsmann
prudential                         überlegt

psychic                            psychisch
psychiatry                         Psychiatrie
psycho-analysis                    Psychoanalyse
psychologic                        psychologisch
psychological                      psychologisch
psychological factors              psychologische Faktoren
psychologist                       Psychologe
psychology                         Psychologie

public                             öffentlich
public administration              öffentliche Verwaltung
public affairs                     öffentliche Angelegenheiten
public announcement                öffentliche Ankündigung
public appointment                 staatliche Anstellung
public authorities                 Behörden
public buildings                   öffentliche Gebäude
public contract                    öffentlicher Auftrag
public corporation                 Körperschaft des öffentlichen Rechts
public corporation                 öffentliche Körperschaft
public danger                      öffentliche Gefahr
public debt                        öffentliche Verschuldung
public debts                       öffentliche Schulden
public domain                      in öffentlichem Besitz
public enterprise                  öffentliches Unternehmen
public enterprise                  Staat als Unternehmer
public enterprise                  staatliches Unternehmen
public enterprise                  Staatsbetrieb
public expenditure                 öffentliche Ausgaben, Staatsausgaben
public finance                     öffentliche Finanzwirtschaft
public funds                       öffentliche Mittel
public health system               öffentliches Gesundheitswesen
public holiday                     gesetzlicher Feiertag
public library                     Volksbüchgerei
public life                        öffentliches Leben
public limited company             AG
public limited company             Aktiengesellschaft
public limited company             Aktiengesellschaft (Br.)
public loan                        öffentliche Anleihe
public means of transport          öffentliche Verkehrsmittel
public opinion                     öffentliche Meinung
public property                    Volkseigentum
public relations                   Beziehungen zur Öffentlichkeit, Werbung
public relations                   Beziehungspflege
public relations                   Kontaktpflege, Meinungspflege, Werbung
public relations                   Öffentlichkeitsarbeit
public relations department        Werbeabteilung
public relief work                 öffentliche Notstandsarbeiten
public relief works                Notstandsarbeiten
public revenue                     Staatseinnahmen
public safety                      öffentliche Sicherheit
public school                      elitäre Internatschule (Br.)
public school                      staatliche Schule (US)
public sector                      öffentlicher Sektor, Staatssektor
public sector                      staatliche und andere öffentliche Unternehmen
public sector employment           Beschäftigung im öffentlichen Dienst
public servant                     Arbeitnehmer im öffentlichen Dienst
public servant                     Beschäftigter im öffentlichen Dienst
public servant                     öffentlich Bediensteter
public service                     öffentlicher Dienst
public spending                    öffentliche Ausgaben, Staatsausgaben
public spirit                      Gemeinsinn
public spirited                    sozial gesinnt
public utility                     öffentliche Versorgungsunternehmen
public utility                     Öffentlicher Versorgungsbetrieb
public works                       öffentliche Bauarbeiten
public-sector undertaking          öffentliches Unternehmen
public-sector undertaking          staatliches Unternehmen
public-sector undertaking          Staatsbetrieb
publication                        Veröffentlichung, öffentliche Bekanntmachung
publicity                          Publizität, Öffentlichkeit
publicity                          Reklame
publicity campaign                 Werbekampagne
publicity department               Werbeabteilung
publicity drive                    Werbefeldzug
publicity expert                   Werbefachmann
publicity idea                     Werbeidee
publicity man                      Werbefachmann
publicity planning                 Werbeplanung
publish                            herausgeben, bekanntmachen, veröffentlichen
publisher                          Verleger
pull                               ziehen
pull away                          wegziehen
pull down                          niederreißen
pull off                           abreißen
pull oneself together              sich zusammennehmen
pull sb through                    jemandem durchhelfen, jemanden durchbringen
pull sb's leg                      jemanden zum besten haben
pull the strings                   die Drähte ziehen
pulpit                             Kanzel
pulsate                            pulsieren
pulse                              Puls
pump                               Pumpe, pumpen
pump information from sb           aus jemandem Information herausholen
pump priming                       Wirtschaftsankurbelung
pun                                Wortspiel
punch                              lochen
punched card                       Lochkarte
punched hole                       Loch, Lochung
punctuation                        Zeichensetzung
punish                             bestrafen
punishable                         strafbar
punishment                         Bestrafung
pupil                              Schulkind, Schüler
purchase                           Kauf (auf Rechnung), Erwerbung, kaufen
purchase contract                  Kaufvertrag
purchase decision                  Kaufentscheidung
purchase intention                 Kaufabsicht
purchase journal                   Wareneingangsbuch
purchase on approval               Kauf auf Probe
purchase order                     Auftrag
purchase price                     Kaufpreis
purchase requisition               Kaufanforderung
purchase tax                       Verkaufssteuer
purchased                          gekauft, erkauft
purchaser                          Erwerber, Käufer
purchaser without notice           redlicher Erwerber
purchasing agent                   Einkäufer
purchasing association             Einkaufsgenossenschaft
purchasing budget                  Einkaufsplan
purchasing cartel                  Einkaufskartell
purchasing commission              Einkaufsprovision
purchasing cooperative society     Einkaufsgenossenschaft
purchasing country                 Käuferland
purchasing motive                  Kaufmotiv
purchasing power                   Kaufkraft
purchasing power of a currency     Kaufkraft einer Währung
pure                               rein
pure air                           saubere Luft
pure competition                   vollkommener Wettbewerb
pure conscience                    reines Gewissen
pure economics                     allgemeine Volkswirtschaftslehre
pure economics                     Wirtschaftstheorie
pure gold                          gediegenes Gold
pure monopoly                      absolutes Monopol
pure taste                         unverdorbener Geschmack
pure wine                          unverfälschter Wein
purely                             völlig
pureness                           Reinheit
purification                       Reinigung
purificatory                       reinigend
purify                             reinigen
purpose                            Zweck, Absicht, Ziel, Vorsatz
purpose                            Zweck, Verwendungszweck
purpose of                         Zweck von
purposeful                         zielbewusst
purposeless                        ohne Absicht
purposely                          absichtlich, vorsätzlich
purse                              Geldbörse
pursue a plan                      einem Plan folgen
pursue a scheme                    einem Zeitplan folgen
pursue a thief                     einen Dieb verfolgen
pursue one's studies               seine Studien betreiben
pursuance                          Verfolgung
pursuant                           verfolgend
pursue                             verfolgen, fortsetzen, fortfahren
pursuit                            Verfolgung
push                               schieben, treiben, stoßen, Schub, Stoß
push a claim                       eine Forderung nachdrücklich verfolgen
push aside                         zur Seite stoßen
push back                          zurückdrängen, zurückschieben
push button factory                automatische Fabrik
push off                           abstoßen
push on                            antreiben
push one's business                sein Geschäft anpreisen
push oneself forward               sich vordrängen
